cfeType,cfeExternalId,name,CLP,CP,qty,profitCenter,eqCLP,eqCP,code,description,qty_si,eqCLP_si,eqCP_si
TYPE 2,T2-SML,Small Configuration,,,,,,,,,,,
TYPE 1,475266B,ABIO AirScale Capacity,7736.23,3481.30,1,,,,,,,,
PCE,,,,,,PC00006831,7736.23,3481.30,,,,,
SI,,,,,,,,,475266B,ABIO AirScale Capacity,1.0,7736.23,3481.30
TYPE 1,473764A,ASIB AirScale Common,1742.23,784.0,1,,,,,,,,
PCE,,,,,,PC00006831,1742.23,784.0,,,,,
SI,,,,,,,,,473764A,ASIB AirScale Common,1.0,1742.23,784.0
TYPE 1,473098A,AMIA AirScale Subrack,653.34,294.0,1,,,,,,,,
PCE,,,,,,PC00006831,653.34,294.0,,,,,
SI,,,,,,,,,473098A,AMIA AirScale Subrack,1.0,653.34,294.0
TYPE 1,SR000035.T,ABIO Baseband Capacity Activation LTU,362.97,163.34,2,,,,,,,,
PCE,,,,,,PC00006834,362.97,163.34,,,,,
SI,,,,,,,,,SR000035.T,ABIO Baseband Capacity Activation LTU,1.0,362.97,163.34
TYPE 1,475000A,AHPMDB AirScale RRH 2T4R B8/20/28 240W,5842.03,2628.91,3,,,,,,,,
PCE,,,,,,PC00000349,5842.03,2628.91,,,,,
SI,,,,,,,,,475000A,AHPMDB AirScale RRH 2T4R B8/20/28 240W,1.0,5842.03,2628.91
TYPE 1,SR001015.T,SBTS Incremental 20W Power LTU,93.6,42.12,18,,,,,,,,
PCE,,,,,,PC00006835,93.6,42.12,,,,,
SI,,,,,,,,,SR001015.T,SBTS Incremental 20W Power LTU,1.0,93.6,42.12
TYPE 1,475336A,AOME 10G SFP+ 850nm 300m MM I-temp,40.39,18.17,6,,,,,,,,
PCE,,,,,,PC00006832,40.39,18.17,,,,,
SI,,,,,,,,,475336A,AOME 10G SFP+ 850nm 300m MM I-temp,1.0,40.39,18.17
TYPE 1,471880A,FOSC Optical SFP 1000Base-LX 1310nm SM,17.42,7.84,1,,,,,,,,
PCE,,,,,,PC00006832,17.42,7.84,,,,,
SI,,,,,,,,,471880A,FOSC Optical SFP 1000Base-LX 1310nm SM,1.0,17.42,7.84
TYPE 1,476359A,ASAL EAC cable 19PIN - peeled end 10m [for 2.5-10m],58.58,26.46,1,,,,,,,,
PCE,,,,,,PC00002207,58.58,26.46,,,,,
SI,,,,,,,,,476359A,ASAL EAC cable 19PIN - peeled end 10m [for 2.5-10m],1.0,58.8,26.46
TYPE 1,474583A,AMRC AirScale one clip rail 600mm,108.89,49.0,1,,,,,,,,
PCE,,,,,,PC00006833,108.89,49.0,,,,,
SI,,,,,,,,,474583A,AMRC AirScale one clip rail 600mm,1.0,108.89,49.0
TYPE 1,LTE_CAP_new,LTE capacity SW package; per LTE cell,1450.00,652.5,3,,,,,,,,
PCE,,,,,,PC00006849,143.992055610725,64.7964250248262,,,,,
SI,,,,,,,,,RLFZ9031.T,FZ Mini Macro 5W to 10W Power Lic LTU,1.0,47.9973518702416,21.5988083416087
SI,,,,,,,,,RLFZ9032.T,FZ Mini Macro 10W to 20W Power Lic LTU,1.0,95.9947037404833,43.1976166832175
PCE,,,,,,PC00006843,1286.32903012248,578.848063555114,,,,,
SI,,,,,,,,,RL000366.T,AirScale System Module Activation LTU,1.0,383.978814961933,172.79046673287
SI,,,,,,,,,RL000028.T,Cell Bandwidth - 20 MHz LTU,1.0,345.58093346574,155.511420059583
SI,,,,,,,,,RL000047.T,Cell Bandwidth - 15 MHz LTU,1.0,268.785170473353,120.953326713009
SI,,,,,,,,,RL000027.T,Cell Bandwidth - 10 MHz LTU,1.0,167.990731545846,75.5958291956306
SI,,,,,,,,,RL000026.T,Cell Bandwidth - 5 MHz LTU,1.0,119.993379675604,53.99702085402184
PCE,,,,,,PC00006847,19.6789142667991,8.855511420059589,,,,,
SI,,,,,,,,,SR000834.1.T,SBTS Daily UP Data Volume (GB) LTU,1.0,9.69546507778881,4.362959285004968
SI,,,,,,,,,SR001004.T,SBTS Data User LTU,1.0,9.98344918901026,4.492552135054621
TYPE 1,5G_Cap_New,5G capacity SW package; per 5G SCC,175.00,78.75,6,,,,,,,,
PCE,,,,,,PC00006824,53.2608695652174,23.967391304347828,,,,,
SI,,,,,,,,,5G000023.T,3dBm output power for mmW CLTU,1.0,27.8985507246377,12.554347826086959
SI,,,,,,,,,5G000022.T,2 layer activation for mmW CLTU,1.0,25.3623188405797,11.41304347826087
PCE,,,,,,PC00006821,121.739130434783,54.78260869565217,,,,,
SI,,,,,,,,,5G000006.T,4 DL layer activation for mMIMO CLTU,1.0,25.3623188405797,11.413043478260871
SI,,,,,,,,,5G000005.T,20MHz bandwidth for mMIMO CLTU,1.0,96.3768115942029,43.3695652173913
TYPE 2,SWP-ASIA,Swap ASIA,,,,,,,,,,,
TYPE 1,473764A,ASIB AirScale Common,1742.0,0.0,1,,,,,,,,
PCE,,,,,,PC00006831,1742.0,0.0,,,,,
SI,,,,,,,,,473764A,ASIB AirScale Common,1.0,1742.0,0.0
TYPE 2,SWP-FSMF,Swap FSMF,,,,,,,,,,,
TYPE 1,475266B,ABIO AirScale Capacity,7736.23,0.0,1,,,,,,,,
PCE,,,,,,PC00006831,7736.23,0.0,,,,,
SI,,,,,,,,,475266B,ABIO AirScale Capacity,1.0,7736.23,0.0
TYPE 1,473764A,ASIB AirScale Common,1742.23,0.0,1,,,,,,,,
PCE,,,,,,PC00006831,1742.23,0.0,,,,,
SI,,,,,,,,,473764A,ASIB AirScale Common,1.0,1742.23,0.0
TYPE 1,473098A,AMIA AirScale Subrack,653.34,0.0,1,,,,,,,,
PCE,,,,,,PC00006831,653.34,0.0,,,,,
SI,,,,,,,,,473098A,AMIA AirScale Subrack,1.0,653.34,0.0
TYPE 1,SR000035.T,ABIO Baseband Capacity Activation LTU,362.97,0.0,2,,,,,,,,
PCE,,,,,,PC00006834,362.97,0.0,,,,,
SI,,,,,,,,,SR000035.T,ABIO Baseband Capacity Activation LTU,1.0,362.97,0.0
